Exp	tank	Cell	Control	ID	Shell Radius Circle	Shell Diameter	Nchamber	Proloculus Radius Circle	Proloculus Diameter	Structure	ReproductiveStage
OA3	pH 7.2	H2	Live	OA3 T1 H2 Live	117.01	234.02	16	14.05	28.1	No Ornamentation	Microsphere
OA2	pH 7.2	H5	Dead	OA2 T1 H5 Dead	135.25	270.5	11	33.84	67.68	No ornamentation	Megalosphere
OA2	pH 7.2	H2	Dead	OA2 T1 H2 Dead	182.93	365.86	14	33.32	66.64	No ornamentation	Megalosphere
OA2	pH 7.2	H3	Live	OA2 T1 H3 Live	179.91	359.82	13	29.22	58.44	No ornamentation	Megalosphere
OA3	pH 7.2	H3	Dead	OA3 T1 H3 Dead	156.33	312.66	17	20.17	40.34	Ornamentation	Microsphere
OA3	pH 7.2	H3	Live	OA3 T1 H3 Live	160.21	320.42	28	6.7	13.4	Ornamentation	Microsphere
OA2	pH 7.2	H4	Live	OA2 T1 H4 Live	170.53	341.06	22	16.23	32.46	Ornamentation	Microsphere
OA2	pH 7.2	H5	Live	OA2 T1 H5 Live	222.34	444.68	24	20.46	40.92	Ornamentation	Microsphere
OA2	pH 7.2	H6	Live	OA2 T1 H6 Live	171.09	342.18	15	23.44	46.88	Ornamentation (some sutures)	Microsphere
OA3	pH 7.2	H4	Dead	OA3 T1 H4 Dead	186.02	372.04	22	15.33	30.66	Ornamentation	Microsphere
OA3	pH 7.2	H5	Dead	OA3 T1 H5 Dead	184.84	369.68	21	16.07	32.14	Ornamentation	Microsphere
OA2	pH 7.2	H6	Dead	OA2 T1 H6 Dead	175.91	351.82	20	18.48	36.96	Ornamentation	Microsphere
OA3	pH 7.2	H2	Dead	OA3 T1 H2 Dead	188.23	376.46	23	24.57	49.14	Ornamentation	Microsphere
OA3	pH 7.2	H1	Dead	OA3 T1 H1 Dead	195.15	390.3	21	21.83	43.66	Ornamentation	Microsphere
OA2	pH 7.2	H1	Dead	OA2 T1 H1 Dead	212.61	425.22	21	18.16	36.32	Ornamentation	Microsphere
OA3	pH 7.2	H4	Live	OA3 T1 H4 Live	218.6	437.2	23	25.11	50.22	Ornamentation	Microsphere
OA2	pH 7.2	H1	Live	OA2 T1 H1 Live	244.55	489.1	21	20.24	40.48	Ornamentation	Microsphere
OA2	pH 7.6	H8	Dead	OA2 T2 H8 Dead	149.41	298.82	11	32.74	65.48	No ornamentation	Megalosphere
OA2	pH 7.6	H7	Dead	OA2 T2 H7 Dead	155.89	311.78	12	40.66	81.32	No ornamentation (except in last chamber)	Megalosphere
OA2	pH 7.6	H12	Dead	OA2 T2 H12 Dead	185.18	370.36	13	32.5	65	No ornamentation	Megalosphere
OA2	pH 7.6	H4	Dead	OA2 T2 H4 Dead	208.52	417.04	15	30.97	61.94	No ornamentation	Megalosphere
OA2	pH 7.6	H5	Dead	OA2 T2 H5 Dead	195.18	390.36	13	35.57	71.14	No ornamentation	Megalosphere
OA2	pH 7.6	H2	Dead	OA2 T2 H2 Dead	140.81	281.62	17	19.55	39.1	Ornamentation	Microsphere
