ID	Treatment	Date	Calib.Date	Day	Tank	Location	TA	Mass	Titration Salinity	Temperature_F	Temperature	pH (meter)	pH.mv.MT	Salinity	
OA3_23_10_20_T1	7.2	2023/10/20	23_10_20	1	T1	490 -20 deg C, shelf 1 (starting from top)	2543.81148	60.066	35	76.8	24.88888889	7.171	-9.77094	35	
OA3_23_10_20_T2	7.6	2023/10/20	23_10_20	1	T2	490 -20 deg C, shelf 1 (starting from top)	2270.90564	60.107	35	77.6	25.33333333	7.593	-33.88402	35	
OA3_23_10_20_T3	8.1	2023/10/20	23_10_20	1	T3	490 -20 deg C, shelf 1 (starting from top)	1164.58264	59.686	35	76.8	24.88888889	7.96	-54.8544	35	
OA3_23_10_23_T1	7.2	2023/10/23	23_10_20	4	T1	490 -20 deg C, shelf 1 (starting from top)	2381.56891	59.878	36	77.4	25.22222222	7.236	-13.48504	36	
OA3_23_10_23_T2	7.6	2023/10/23	23_10_20	4	T2	490 -20 deg C, shelf 1 (starting from top)	2276.49792	60.062	40	78.8	26	7.556	-31.76984	40	
OA3_23_10_23_T3	8.1	2023/10/23	23_10_20	4	T3	490 -20 deg C, shelf 1 (starting from top)	1329.10471	60.348	35	78.1	25.61111111	7.944	-53.94016	35	
OA3_23_10_25_T1	7.2	2023/10/25	23_10_20	6	T1	490 -20 deg C, shelf 1 (starting from top)	2518.95236	59.599	35	78.4	25.77777778	7.308	-17.59912	35	
OA3_23_10_25_T2	7.6	2023/10/25	23_10_20	6	T2	490 -20 deg C, shelf 1 (starting from top)	1930.65236	60.48	36	79.3	26.27777778	7.522	-29.82708	36	
OA3_23_10_25_T3	8.1	2023/10/25	23_10_20	6	T3	490 -20 deg C, shelf 1 (starting from top)	1213.92356	60.442	34	79.3	26.27777778	7.914	-52.22596	34	
OA3_23_10_27_T1	7.2	2023/10/27	23_10_27	8	T1	490 -20 deg C, shelf 1 (starting from top)	2625.4686	59.841	35	77.2	25.11111111	7.216	-12.34224	35	
OA3_23_10_27_T2	7.6	2023/10/27	23_10_27	8	T2	490 -20 deg C, shelf 1 (starting from top)	2500.78625	59.721	36	78.5	25.83333333	7.505	-28.8557	36	
OA3_23_10_27_T3	8.1	2023/10/27	23_10_27	8	T3	490 -20 deg C, shelf 1 (starting from top)	1258.95863	60.116	34	78.2	25.66666667	7.935	-53.4259	34	
OA3_23_10_30_T1	7.2	2023/10/30	23_10_27	11	T1	490 -20 deg C, shelf 1 (starting from top)	2136.75134	60.457	38	78.9	26.05555556	7.19	-10.8566	38	
